gene,hotspot_freq_luad,n_luad_lines_hotspot,n_luad_lines_screened_hotspot,mean_expr_logTPM,std_expr_logTPM,n_luad_lines_expr,mean_copy_number,n_luad_lines_cn,mean_crispr_dependency,n_luad_lines_crispr_dependency,mean_crispr_effect,n_luad_lines_crispr_effect
EGFL8,,,,2.1643,0.8572,83.0,0.9774,45.0,0.025,53.0,0.0212,53.0
EGFLAM,,,,0.4886,0.9425,83.0,1.6601,45.0,0.0214,53.0,0.0361,53.0
EGFR,0.084,11.0,131.0,5.2771,1.5461,83.0,2.4142,45.0,0.2331,53.0,-0.2882,53.0
EGLN1,,,,5.1431,0.6417,83.0,1.0997,45.0,0.2756,53.0,-0.2488,53.0
EGLN2,,,,5.492,0.6368,83.0,1.0933,45.0,0.2331,53.0,-0.2748,53.0
EGLN3,,,,3.3798,1.6869,83.0,1.3576,45.0,0.0972,53.0,-0.0755,53.0
EGR1,,,,4.4845,1.7914,83.0,1.0612,45.0,0.0817,53.0,-0.1104,53.0
EGR2,,,,0.5036,0.7131,83.0,1.0434,45.0,0.0872,53.0,-0.0851,53.0
EGR3,,,,0.2471,0.4241,83.0,0.8262,45.0,0.0181,53.0,0.0657,53.0
EGR4,,,,0.1946,0.3065,83.0,1.1997,45.0,0.1038,53.0,-0.133,53.0
EHBP1,,,,4.9913,0.754,83.0,1.2202,45.0,0.0147,53.0,0.0923,53.0
EHBP1L1,,,,4.9583,0.8108,83.0,1.2333,45.0,0.1423,53.0,-0.1769,53.0
EHD1,,,,5.3489,1.0305,83.0,1.1508,45.0,0.1228,53.0,-0.1766,53.0
EHD2,,,,4.2854,1.5801,83.0,0.9594,45.0,0.0319,53.0,0.0202,53.0
EHD3,,,,1.7186,0.8241,83.0,1.1359,45.0,0.0626,53.0,-0.0721,53.0
EHD4,,,,3.3986,0.7517,83.0,1.032,45.0,0.0264,53.0,0.0227,53.0
EHF,,,,3.699,2.3939,83.0,1.0107,45.0,0.0321,53.0,-0.0015,53.0
EHHADH,,,,2.3473,0.8031,83.0,1.1071,45.0,0.0368,53.0,-0.0326,53.0
EHMT1,,,,4.719,0.5542,83.0,1.0728,45.0,0.0747,53.0,-0.0496,53.0
EHMT2,,,,4.5866,0.6024,83.0,1.0338,45.0,0.1771,53.0,-0.1958,53.0
EI24,,,,6.6677,0.5593,83.0,1.0331,45.0,0.003,2.0,0.3013,2.0
EID1,,,,6.8281,0.7675,83.0,1.1037,45.0,0.0283,53.0,0.0084,53.0
EID2,,,,4.3054,0.733,83.0,1.1212,45.0,0.0651,53.0,-0.0357,53.0
EID2B,,,,1.6837,0.7962,83.0,1.1685,45.0,0.0654,53.0,-0.0835,53.0
EID3,,,,1.936,1.4215,83.0,1.2603,45.0,0.0287,53.0,0.018,53.0
EIF1,,,,9.3544,0.5659,83.0,1.2445,45.0,0.9698,53.0,-1.2994,53.0
EIF1AD,,,,5.1699,0.5209,83.0,1.1385,45.0,0.9864,53.0,-1.5981,53.0
EIF1AX,0.0076,1.0,131.0,6.3497,0.6494,83.0,0.7481,45.0,0.9578,53.0,-1.9523,53.0
EIF1AY,,,,1.4879,2.3542,83.0,0.0751,45.0,0.2302,19.0,-0.2455,19.0
EIF1B,,,,5.6613,0.5833,83.0,0.923,45.0,0.0257,53.0,0.0524,53.0
EIF2A,,,,6.4885,0.501,83.0,1.1385,45.0,0.0809,53.0,-0.1138,53.0
EIF2AK1,,,,6.7574,0.5599,83.0,1.2821,45.0,0.0218,53.0,0.0596,53.0
EIF2AK2,,,,4.4797,0.5803,83.0,1.1652,45.0,0.0152,53.0,0.1139,53.0
EIF2AK3,,,,4.0125,0.567,83.0,1.1948,45.0,0.0477,53.0,-0.0381,53.0
EIF2AK4,0.0,0.0,131.0,4.3072,0.6575,83.0,1.0255,45.0,0.1425,53.0,-0.0928,53.0
EIF2B1,,,,5.2094,0.5072,83.0,1.0725,45.0,0.8858,53.0,-0.9319,53.0
EIF2B2,,,,5.9821,0.5758,83.0,1.3316,45.0,0.9882,53.0,-1.5823,53.0
EIF2B3,0.0,0.0,131.0,4.8215,0.5196,83.0,1.0852,45.0,0.9838,53.0,-1.4828,53.0
EIF2B4,,,,5.1951,0.5199,83.0,1.1619,45.0,0.9848,53.0,-1.4637,53.0
EIF2B5,,,,5.2274,0.4645,83.0,1.1238,45.0,0.9403,53.0,-1.062,53.0
EIF2D,,,,5.1428,0.5482,83.0,1.1658,45.0,0.0322,53.0,0.015,53.0
EIF2S1,,,,8.0567,0.5991,83.0,1.2606,45.0,0.9997,53.0,-2.2016,53.0
EIF2S2,,,,6.6798,0.5003,83.0,1.2722,45.0,0.9859,53.0,-1.4604,53.0
EIF2S3,,,,7.4012,0.618,83.0,0.6857,45.0,0.9981,53.0,-1.8739,53.0
EIF2S3B,,,,3.8065,0.6709,83.0,1.0629,45.0,0.0002,2.0,0.4842,2.0
EIF3A,,,,6.5864,0.4226,83.0,0.9891,45.0,0.9977,53.0,-1.8173,53.0
EIF3B,,,,7.8754,0.6318,83.0,1.3889,45.0,0.9906,53.0,-1.6175,53.0
EIF3C,,,,7.5394,0.6979,83.0,,0.0,,,,
EIF3CL,,,,4.37,0.9766,83.0,,0.0,,,,
EIF3D,,,,7.519,0.4884,83.0,0.9341,45.0,0.9868,53.0,-1.5702,53.0
EIF3E,,,,8.4503,0.6128,83.0,1.1252,45.0,0.9856,53.0,-1.4147,53.0
EIF3F,,,,7.3019,0.4918,83.0,0.9357,45.0,0.9471,53.0,-1.0934,53.0
EIF3G,,,,7.0838,0.4139,83.0,0.9062,45.0,0.9919,53.0,-1.5262,53.0
EIF3H,,,,8.3561,0.5388,83.0,1.2427,45.0,0.8427,53.0,-0.8421,53.0
EIF3I,,,,7.8676,0.5251,83.0,0.9486,45.0,0.9903,53.0,-1.4988,53.0
EIF3J,,,,6.6042,0.4992,83.0,0.9595,45.0,0.6005,53.0,-0.5368,53.0
EIF3K,,,,7.9944,0.541,83.0,1.073,45.0,0.1861,53.0,-0.2255,53.0
EIF3L,,,,7.7021,0.4897,83.0,0.8908,45.0,0.3996,53.0,-0.3956,53.0
EIF3M,,,,8.5744,0.6259,83.0,1.0165,45.0,0.9596,53.0,-1.1052,53.0
EIF4A1,,,,9.9128,0.5542,83.0,0.9961,45.0,0.9893,53.0,-1.7016,53.0
EIF4A2,,,,8.4454,0.5774,83.0,1.1743,45.0,0.0427,53.0,-0.0355,53.0
EIF4A3,,,,6.9888,0.5716,83.0,1.2145,45.0,0.9989,53.0,-1.9928,53.0
EIF4B,,,,7.7376,0.607,83.0,1.1688,45.0,0.672,53.0,-0.6462,53.0
EIF4E,,,,6.5841,0.5252,83.0,0.8888,45.0,0.9692,53.0,-1.338,53.0
EIF4E1B,,,,0.0817,0.3066,83.0,1.1541,45.0,0.0571,53.0,-0.0725,53.0
EIF4E2,,,,6.4717,0.4339,83.0,1.0902,45.0,0.1979,53.0,-0.2222,53.0
EIF4E3,,,,1.6748,1.2449,83.0,0.9249,45.0,0.0779,53.0,-0.0842,53.0
EIF4EBP1,,,,6.3031,0.9119,83.0,0.8998,45.0,0.1653,53.0,-0.2182,53.0
EIF4EBP2,,,,4.504,0.5489,83.0,1.0508,45.0,0.182,53.0,-0.2272,53.0
EIF4EBP3,,,,1.3754,1.4905,83.0,1.0798,45.0,0.0429,53.0,-0.0409,53.0
EIF4ENIF1,,,,3.4643,0.409,83.0,0.9143,45.0,0.1718,53.0,-0.2176,53.0
EIF4G1,,,,7.9816,0.5707,83.0,1.1272,45.0,0.7853,53.0,-0.77,53.0
EIF4G2,,,,8.7034,0.5281,83.0,0.9991,45.0,0.8168,53.0,-0.8166,53.0
EIF4G3,,,,4.5902,0.5899,83.0,0.9387,45.0,0.0449,53.0,-0.0345,53.0
EIF4H,,,,8.1451,0.5024,83.0,1.1947,45.0,0.2448,53.0,-0.2763,53.0
EIF5,,,,8.1974,0.6424,83.0,1.3486,45.0,0.973,53.0,-1.4305,53.0
EIF5A,,,,9.4428,0.5524,83.0,0.9879,45.0,0.9469,53.0,-1.2088,53.0
EIF5A2,,,,2.4169,1.2625,83.0,1.1466,45.0,0.0173,53.0,0.093,53.0
EIF5AL1,,,,3.0343,0.5513,83.0,,0.0,0.379,53.0,-0.3846,53.0
EIF5B,,,,5.8992,0.4769,83.0,1.1584,45.0,0.2916,53.0,-0.3051,53.0
EIF6,,,,7.9968,0.6105,83.0,1.2804,45.0,0.975,53.0,-1.2533,53.0
EIPR1,,,,4.6567,0.5184,83.0,1.1145,45.0,0.143,53.0,-0.125,53.0
ELAC1,,,,2.6067,0.6914,83.0,0.7887,45.0,0.0163,53.0,0.0741,53.0
ELAC2,,,,5.6802,0.6111,83.0,0.9513,45.0,0.8854,53.0,-0.9718,53.0
ELANE,,,,0.1357,0.289,83.0,0.923,45.0,0.0302,53.0,0.0236,53.0
ELAPOR1,,,,0.9535,1.6052,83.0,1.0876,45.0,0.0598,53.0,-0.0308,53.0
ELAPOR2,,,,1.9143,1.5439,83.0,1.2192,45.0,0.0518,53.0,-0.0443,53.0
ELAVL1,,,,5.3625,0.4412,83.0,0.9297,45.0,0.2447,53.0,-0.2494,53.0
ELAVL2,,,,0.7478,1.0914,83.0,0.7107,45.0,0.0148,53.0,0.1009,53.0
ELAVL3,,,,0.0784,0.1568,83.0,0.8672,45.0,0.0686,53.0,-0.1009,53.0
ELAVL4,,,,0.1974,0.5088,83.0,1.1231,45.0,0.0131,53.0,0.0909,53.0
ELF1,,,,4.5855,0.6438,83.0,0.8421,45.0,0.0752,53.0,-0.1114,53.0
ELF2,,,,4.2864,0.5125,83.0,0.9052,45.0,0.1772,53.0,-0.2076,53.0
ELF3,,,,6.3681,2.4633,83.0,1.1252,45.0,0.1325,53.0,-0.1338,53.0
ELF4,,,,3.6827,0.9205,83.0,0.7182,45.0,0.0754,53.0,-0.0772,53.0
ELF5,,,,0.5243,1.1965,83.0,1.0167,45.0,0.0227,53.0,0.023,53.0
ELFN1,,,,0.3123,0.7268,83.0,1.4502,45.0,0.0538,53.0,-0.0644,53.0
ELFN2,,,,2.0431,1.3428,83.0,0.9076,45.0,0.0379,53.0,-0.0108,53.0
ELK1,,,,3.9123,0.6831,83.0,0.6055,45.0,0.0683,53.0,-0.0962,53.0
ELK3,,,,4.4049,1.0303,83.0,1.1501,45.0,0.0334,53.0,-0.0069,53.0
ELK4,,,,3.6707,0.5321,83.0,1.128,45.0,0.0153,53.0,0.0787,53.0
ELL,,,,2.5824,0.5373,83.0,0.9787,45.0,0.8818,53.0,-1.2059,53.0
ELL2,,,,4.6431,1.0927,83.0,1.0331,45.0,0.052,53.0,-0.0519,53.0
ELL3,,,,2.4727,1.0615,83.0,0.9946,45.0,0.1841,53.0,-0.2351,53.0
ELMO1,,,,0.9327,1.1275,83.0,1.2995,45.0,0.0534,53.0,-0.0491,53.0
ELMO2,,,,4.0964,0.5911,83.0,1.2624,45.0,0.2991,53.0,-0.3356,53.0
ELMO3,,,,2.8596,1.4354,83.0,1.1587,45.0,0.0332,53.0,0.0015,53.0
ELMOD1,,,,0.5856,0.8717,83.0,1.1112,45.0,0.0444,53.0,-0.0171,53.0
ELMOD2,,,,4.021,0.5408,83.0,0.9336,45.0,0.0168,53.0,0.0676,53.0
ELMOD3,,,,3.7423,0.6286,83.0,1.2017,45.0,0.2428,53.0,-0.2902,53.0
ELN,,,,0.1843,0.2897,83.0,1.1316,45.0,0.0166,53.0,0.0747,53.0
ELOA,,,,4.4607,0.6431,83.0,1.001,45.0,0.1908,53.0,-0.1962,53.0
ELOA2,,,,0.0159,0.0198,83.0,0.8812,45.0,0.0298,53.0,0.0174,53.0
ELOA3BP,,,,,,,,0.0,,,,
ELOA3CP,,,,,,,,0.0,,,,
ELOA3DP,,,,,,,,0.0,,,,
ELOA3P,,,,,,,,0.0,,,,
ELOB,,,,7.7866,0.6028,83.0,0.9703,45.0,0.9688,53.0,-1.4609,53.0
ELOC,,,,7.2386,0.7366,83.0,1.3272,45.0,0.9844,53.0,-1.4106,53.0
ELOF1,,,,5.7814,0.5286,83.0,0.871,45.0,0.2936,53.0,-0.2492,53.0
ELOVL1,,,,6.9816,0.5315,83.0,1.1108,45.0,0.1503,53.0,-0.1656,53.0
ELOVL2,,,,0.9758,1.286,83.0,1.0129,45.0,0.0543,53.0,-0.0568,53.0
ELOVL3,,,,0.7923,0.7305,83.0,0.9957,45.0,0.0704,53.0,-0.0932,53.0
ELOVL4,,,,1.3393,1.2919,83.0,0.8992,45.0,0.0426,53.0,-0.011,53.0
ELOVL5,,,,6.4118,0.9721,83.0,1.0472,45.0,0.0143,53.0,0.0958,53.0
ELOVL6,,,,3.7048,1.1034,83.0,0.8547,45.0,0.0189,53.0,0.0653,53.0
ELOVL7,,,,3.2075,1.2521,83.0,0.98,45.0,0.0097,53.0,0.1292,53.0
ELP1,,,,4.4009,0.4882,83.0,1.0419,45.0,0.9217,53.0,-1.0169,53.0
ELP2,,,,5.4337,0.5648,83.0,0.8731,45.0,0.6304,53.0,-0.5731,53.0
ELP3,,,,4.3411,0.5623,83.0,0.851,45.0,0.8525,53.0,-0.8803,53.0
ELP4,,,,3.6355,0.4538,83.0,0.957,45.0,0.5297,53.0,-0.4829,53.0
ELP5,,,,5.2136,0.7138,83.0,0.9827,45.0,0.9054,53.0,-1.1755,53.0
ELP6,,,,4.9645,0.5634,83.0,0.8724,45.0,0.8868,53.0,-0.9765,53.0
ELSPBP1,,,,0.0381,0.1954,83.0,1.0242,45.0,0.0136,53.0,0.0728,53.0
EMB,,,,4.0662,1.9031,83.0,1.0182,45.0,0.0628,53.0,-0.0429,53.0
EMC1,,,,5.4903,0.6823,83.0,0.9614,45.0,0.4283,53.0,-0.4353,53.0
EMC10,,,,6.0291,1.0153,83.0,1.0083,45.0,0.0501,53.0,-0.0313,53.0
EMC2,,,,6.1078,0.6134,83.0,1.1467,45.0,0.1957,53.0,-0.187,53.0
EMC3,,,,5.7318,0.5553,83.0,0.9121,45.0,0.7484,53.0,-0.833,53.0
EMC4,,,,7.1928,0.4232,83.0,0.9881,45.0,0.5038,53.0,-0.4831,53.0
EMC6,,,,5.7967,0.7926,83.0,1.0255,45.0,0.1384,53.0,-0.1218,53.0
EMC7,,,,6.4634,0.5735,83.0,0.9568,45.0,0.6306,53.0,-0.6427,53.0
EMC8,,,,4.9037,0.4832,83.0,1.1393,45.0,0.0746,53.0,-0.0865,53.0
EMC9,,,,5.079,0.5435,83.0,1.1732,45.0,0.0542,53.0,-0.0506,53.0
EMCN,,,,0.0149,0.051,83.0,0.8745,45.0,0.0086,53.0,0.149,53.0
EMD,,,,6.0919,0.8284,83.0,0.8184,45.0,0.0341,53.0,0.0176,53.0
EME1,,,,4.1395,0.7249,83.0,1.2404,45.0,0.0448,53.0,-0.0428,53.0
EME2,,,,2.622,0.7588,83.0,1.0558,45.0,0.0428,53.0,-0.0104,53.0
EMG1,,,,5.9649,0.6779,83.0,1.111,45.0,0.0018,2.0,0.3334,2.0
EMID1,,,,0.7513,0.7159,83.0,0.9546,45.0,0.0951,53.0,-0.1297,53.0
EMILIN1,,,,0.3877,0.2439,83.0,1.2165,45.0,0.0475,53.0,-0.0321,53.0
EMILIN2,,,,1.3158,1.2203,83.0,1.0356,45.0,0.0272,53.0,-0.0067,53.0
EMILIN3,,,,0.1396,0.2243,83.0,1.2743,45.0,0.0506,53.0,-0.0455,53.0
EML1,,,,2.4035,1.6644,83.0,1.2005,45.0,0.0289,53.0,-0.0025,53.0
EML2,,,,5.1175,0.8694,83.0,1.049,45.0,0.1174,53.0,-0.1752,53.0
EML3,,,,4.5291,0.6549,83.0,1.1268,45.0,0.049,53.0,-0.051,53.0
EML4,,,,5.111,0.6852,83.0,1.2375,45.0,0.1099,53.0,-0.1283,53.0
EML5,,,,0.8297,0.6968,83.0,1.1494,45.0,0.0553,53.0,-0.0739,53.0
EML6,,,,1.2484,0.8409,83.0,1.2146,45.0,0.1558,53.0,-0.2049,53.0
EMP1,,,,6.0045,2.2775,83.0,1.2149,45.0,0.0171,53.0,0.067,53.0
EMP2,,,,5.0857,1.4156,83.0,1.029,45.0,0.0698,53.0,-0.0636,53.0
EMP3,,,,5.4619,2.5567,83.0,1.0241,45.0,0.0344,53.0,-0.0078,53.0
EMSY,,,,3.7853,0.5542,83.0,1.2047,45.0,0.0605,53.0,0.0131,53.0
EMX1,,,,0.3275,0.6745,83.0,1.2349,45.0,0.0644,53.0,-0.0768,53.0
EMX2,,,,0.0392,0.1354,83.0,0.9151,45.0,0.0262,53.0,0.0423,53.0
EN1,,,,0.2019,0.442,83.0,0.918,45.0,0.0446,53.0,-0.0273,53.0
EN2,,,,0.4724,0.6463,83.0,1.073,45.0,0.0194,53.0,0.0585,53.0
ENAH,,,,6.4733,0.843,83.0,1.1288,45.0,0.0459,53.0,0.0161,53.0
ENAM,,,,0.0749,0.185,83.0,0.9091,45.0,0.0206,53.0,0.0446,53.0
ENC1,,,,4.6673,1.1898,83.0,1.0428,45.0,0.029,53.0,0.0326,53.0
ENDOD1,,,,3.8673,0.8755,83.0,1.0968,45.0,0.0293,53.0,0.0257,53.0
ENDOG,,,,3.7703,0.6326,83.0,1.0201,45.0,0.208,53.0,-0.2437,53.0
ENDOU,,,,0.2247,0.4627,83.0,1.2464,45.0,0.0261,53.0,0.0181,53.0
ENDOV,,,,3.8826,0.7226,83.0,1.2087,45.0,0.0562,53.0,-0.0567,53.0
ENG,,,,2.4746,1.7505,83.0,1.0328,45.0,0.0217,53.0,0.0315,53.0
ENGASE,,,,3.7917,0.9941,83.0,1.2155,45.0,0.0725,53.0,-0.0979,53.0
ENHO,,,,1.0109,0.9175,83.0,0.9238,45.0,0.0465,53.0,-0.0272,53.0
ENKD1,,,,2.8935,1.0031,83.0,1.2475,45.0,0.1678,53.0,-0.2204,53.0
ENKUR,,,,0.4514,0.4541,83.0,0.9719,45.0,0.0081,53.0,0.1461,53.0
ENO1,,,,10.6092,0.597,83.0,0.9957,45.0,0.5794,53.0,-0.6016,53.0
ENO2,,,,4.4304,1.5702,83.0,1.0712,45.0,0.0346,53.0,-0.0206,53.0
ENO3,,,,3.765,1.2477,83.0,0.9631,45.0,0.0352,53.0,-0.0201,53.0
ENO4,,,,0.1339,0.1021,83.0,1.0037,45.0,0.0073,2.0,0.1824,2.0
ENOPH1,,,,5.5543,0.6084,83.0,0.9593,45.0,0.03,53.0,0.0082,53.0
ENOSF1,,,,5.2729,0.7435,83.0,1.0068,45.0,0.0151,53.0,0.0849,53.0
ENOX1,,,,0.8292,0.7894,83.0,0.8416,45.0,0.0684,53.0,-0.0728,53.0
ENOX2,,,,2.9133,0.6495,83.0,0.7478,45.0,0.011,53.0,0.1109,53.0
ENPEP,,,,1.0002,0.9805,83.0,0.8832,45.0,0.0697,53.0,-0.1004,53.0
ENPP1,,,,1.6688,1.1236,83.0,0.889,45.0,0.0232,53.0,0.0237,53.0
ENPP2,,,,0.4005,0.7472,83.0,1.2625,45.0,0.0538,53.0,-0.0539,53.0
ENPP3,,,,0.2233,0.5066,83.0,0.8945,45.0,0.046,53.0,-0.0445,53.0
ENPP4,,,,2.9696,1.2854,83.0,1.0155,45.0,0.011,53.0,0.1126,53.0
ENPP5,,,,1.7541,1.4312,83.0,1.0161,45.0,0.0233,53.0,0.0347,53.0
ENPP6,,,,0.017,0.0373,83.0,0.9161,45.0,0.0245,53.0,0.0505,53.0
ENPP7,,,,0.0187,0.0614,83.0,1.1492,45.0,0.1721,53.0,-0.2099,53.0
ENSA,,,,7.9758,0.8845,83.0,1.511,45.0,0.3966,53.0,-0.3987,53.0
ENSG00000002586_PAR_Y,,,,,,,,0.0,,,,
ENSG00000100101,,,,,,,0.8862,45.0,,,,
ENSG00000111780,,,,,,,1.0498,45.0,,,,
ENSG00000112096,,,,,,,0.8969,45.0,,,,
ENSG00000124333_PAR_Y,,,,,,,,0.0,,,,
ENSG00000124334_PAR_Y,,,,,,,,0.0,,,,
ENSG00000124593,,,,,,,1.0453,45.0,,,,
ENSG00000125695,,,,,,,1.1724,45.0,,,,
ENSG00000131152,,,,,,,1.1283,45.0,,,,
ENSG00000141979,,,,,,,0.9512,45.0,,,,
ENSG00000142539,,,,,,,1.0285,45.0,,,,
ENSG00000144785,,,,,,,1.0911,45.0,,,,
ENSG00000159239,,,,,,,1.1425,45.0,,,,
ENSG00000167393_PAR_Y,,,,,,,,0.0,,,,
ENSG00000167774,,,,,,,0.8893,45.0,,,,
ENSG00000167807,,,,,,,0.8866,45.0,,,,
ENSG00000169084_PAR_Y,,,,,,,,0.0,,,,
ENSG00000169093_PAR_Y,,,,,,,,0.0,,,,
ENSG00000169100_PAR_Y,,,,,,,,0.0,,,,
ENSG00000173366,,,,,,,0.9184,45.0,,,,
ENSG00000173867,,,,,,,1.1337,45.0,,,,
ENSG00000178605_PAR_Y,,,,,,,,0.0,,,,
ENSG00000182162_PAR_Y,,,,,,,,0.0,,,,
ENSG00000182378_PAR_Y,,,,,,,,0.0,,,,
ENSG00000182484_PAR_Y,,,,,,,,0.0,,,,
ENSG00000185291_PAR_Y,,,,,,,,0.0,,,,
ENSG00000185960_PAR_Y,,,,,,,,0.0,,,,
ENSG00000187186,,,,,,,0.9509,45.0,,,,
ENSG00000188223,,,,,,,1.105,45.0,,,,
ENSG00000188897,,,,,,,1.0528,45.0,,,,
ENSG00000196433_PAR_Y,,,,,,,,0.0,,,,
ENSG00000196826,,,,,,,0.8872,45.0,,,,
ENSG00000197976_PAR_Y,,,,,,,,0.0,,,,
ENSG00000197991,,,,,,,0.7791,45.0,,,,
ENSG00000198211,,,,,,,1.1238,45.0,,,,
ENSG00000198223_PAR_Y,,,,,,,,0.0,,,,
ENSG00000203546,,,,,,,1.3542,45.0,,,,
ENSG00000203812,,,,,,,,0.0,,,,
ENSG00000204003,,,,,,,1.2048,45.0,,,,
ENSG00000204422,,,,,,,1.0259,45.0,,,,
ENSG00000205236,,,,,,,,0.0,,,,
ENSG00000205755_PAR_Y,,,,,,,,0.0,,,,
ENSG00000206549,,,,,,,0.8276,45.0,,,,
ENSG00000213204,,,,,,,0.8897,45.0,,,,
ENSG00000214265,,,,,,,0.94,45.0,,,,
ENSG00000214717_PAR_Y,,,,,,,,0.0,,,,
ENSG00000215271,,,,,,,1.1983,45.0,,,,
ENSG00000221995,,,,,,,1.0818,45.0,,,,
ENSG00000225932,,,,,,,,0.0,,,,
ENSG00000228144,,,,,,,1.1701,45.0,,,,
ENSG00000230626,,,,,,,1.0796,45.0,,,,
ENSG00000235007,,,,,,,1.0463,45.0,,,,
ENSG00000236543,,,,,,,1.0538,45.0,,,,
ENSG00000237378,,,,,,,,0.0,,,,
ENSG00000239395,,,,,,,1.1052,45.0,,,,
ENSG00000239920,,,,,,,0.9378,45.0,,,,
ENSG00000241489,,,,,,,0.8084,45.0,,,,
ENSG00000241690,,,,,,,0.9954,45.0,,,,
ENSG00000241962,,,,,,,1.1199,45.0,,,,
ENSG00000243501,,,,,,,0.9035,45.0,,,,
ENSG00000243696,,,,,,,0.8762,45.0,,,,
ENSG00000244255,,,,,,,1.0257,45.0,,,,
ENSG00000244693,,,,,,,,0.0,,,,
ENSG00000248235,,,,,,,0.7738,45.0,,,,
ENSG00000248751,,,,,,,1.0193,45.0,,,,
ENSG00000248993,,,,,,,1.0311,45.0,,,,
ENSG00000249141,,,,,,,0.8956,45.0,,,,
ENSG00000249209,,,,,,,0.9697,45.0,,,,
ENSG00000249240,,,,,,,1.0786,45.0,,,,
ENSG00000249319,,,,,,,1.0917,45.0,,,,
ENSG00000249590,,,,,,,1.0045,45.0,,,,
ENSG00000249624,,,,,,,0.9842,45.0,,,,
ENSG00000249773,,,,,,,1.2979,45.0,,,,
ENSG00000249967,,,,,,,0.9901,45.0,,,,
ENSG00000250264,,,,,,,1.054,45.0,,,,
ENSG00000250349,,,,,,,0.6231,45.0,,,,
ENSG00000250424,,,,,,,1.288,45.0,,,,
ENSG00000250644,,,,,,,0.9385,45.0,,,,
ENSG00000251012,,,,,,,1.0851,45.0,,,,
ENSG00000251184,,,,,,,1.0226,45.0,,,,
ENSG00000251246,,,,,,,1.3461,45.0,,,,
ENSG00000251357,,,,,,,1.0129,45.0,,,,
ENSG00000251537,,,,,,,0.9978,45.0,,,,
ENSG00000251569,,,,,,,1.0783,45.0,,,,
ENSG00000254536,,,,,,,0.998,45.0,,,,
ENSG00000254553,,,,,,,0.9339,45.0,,,,
ENSG00000254673,,,,,,,0.9449,45.0,,,,
ENSG00000254692,,,,,,,1.1739,45.0,,,,
ENSG00000254706,,,,,,,1.2202,45.0,,,,
ENSG00000254732,,,,,,,1.0725,45.0,,,,
ENSG00000254979,,,,,,,1.094,45.0,,,,
ENSG00000255054,,,,,,,0.9424,45.0,,,,
ENSG00000255292,,,,,,,1.0389,45.0,,,,
ENSG00000255330,,,,,,,0.9371,45.0,,,,
ENSG00000255339,,,,,,,1.0211,45.0,,,,
ENSG00000255432,,,,,,,1.0197,45.0,,,,
ENSG00000255439,,,,,,,1.0193,45.0,,,,
ENSG00000255508,,,,,,,1.0624,45.0,,,,
ENSG00000255639,,,,,,,1.0741,45.0,,,,
ENSG00000255641,,,,,,,0.9633,45.0,,,,
ENSG00000255663,,,,,,,1.0184,45.0,,,,
ENSG00000255730,,,,,,,1.0474,45.0,,,,
ENSG00000255835,,,,,,,1.1148,45.0,,,,
ENSG00000255872,,,,,,,0.9387,45.0,,,,
ENSG00000256029,,,,,,,1.2708,45.0,,,,
ENSG00000256100,,,,,,,1.062,45.0,,,,
ENSG00000256206,,,,,,,0.9601,45.0,,,,
ENSG00000256349,,,,,,,1.3178,45.0,,,,
ENSG00000256374,,,,,,,,0.0,,,,
ENSG00000256407,,,,,,,1.105,45.0,,,,
ENSG00000256500,,,,,,,1.2075,45.0,,,,
ENSG00000256514,,,,,,,1.3947,45.0,,,,
ENSG00000256566,,,,,,,1.0092,45.0,,,,
ENSG00000256591,,,,,,,1.0963,45.0,,,,
ENSG00000256646,,,,,,,1.3139,45.0,,,,
ENSG00000256825,,,,,,,1.014,45.0,,,,
ENSG00000256861,,,,,,,1.0247,45.0,,,,
ENSG00000256950,,,,,,,1.0135,45.0,,,,
ENSG00000256966,,,,,,,0.9454,45.0,,,,
ENSG00000257062,,,,,,,1.1795,45.0,,,,
ENSG00000257065,,,,,,,0.9068,45.0,,,,
ENSG00000257207,,,,,,,,0.0,,,,
ENSG00000257341,,,,,,,1.2945,45.0,,,,
ENSG00000257355,,,,,,,0.8442,45.0,,,,
ENSG00000257390,,,,,,,1.1392,45.0,,,,
ENSG00000257411,,,,,,,1.2344,45.0,,,,
ENSG00000257520,,,,,,,1.4683,45.0,,,,
ENSG00000257524,,,,,,,1.0255,45.0,,,,
ENSG00000257767,,,,,,,1.0675,45.0,,,,
ENSG00000257921,,,,,,,1.4233,45.0,,,,
ENSG00000258052,,,,,,,1.1348,45.0,,,,
ENSG00000258064,,,,,,,1.1261,45.0,,,,
ENSG00000258311,,,,,,,1.1656,45.0,,,,
ENSG00000258417,,,,,,,1.3577,45.0,,,,
ENSG00000258461,,,,,,,0.9878,45.0,,,,
ENSG00000258465,,,,,,,1.2873,45.0,,,,
ENSG00000258466,,,,,,,1.2741,45.0,,,,
ENSG00000258472,,,,,,,1.1273,45.0,,,,
ENSG00000258529,,,,,,,1.086,45.0,,,,
ENSG00000258539,,,,,,,1.0049,45.0,,,,
ENSG00000258653,,,,,,,1.1948,45.0,,,,
ENSG00000258674,,,,,,,1.015,45.0,,,,
ENSG00000258677,,,,,,,1.2858,45.0,,,,
ENSG00000258691,,,,,,,1.1585,45.0,,,,
ENSG00000258724,,,,,,,0.8421,45.0,,,,
ENSG00000258728,,,,,,,0.9571,45.0,,,,
